state_code,state,state_name,language,speakers,state_population,share_pct,share_label,national_rank,national_total,source_table,source_url
6,TAS,Tasmania,Arabic,972,557571,0.174,0.2%,2,367154,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
6,TAS,Tasmania,Vietnamese,1467,557571,0.263,0.3%,3,320760,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
6,TAS,Tasmania,Cantonese,1536,557571,0.275,0.3%,4,295292,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
6,TAS,Tasmania,Punjabi,2556,557571,0.458,0.5%,5,239041,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
6,TAS,Tasmania,Greek,1126,557571,0.202,0.2%,6,229643,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
6,TAS,Tasmania,Italian,954,557571,0.171,0.2%,7,228046,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
6,TAS,Tasmania,Hindi,1284,557571,0.23,0.2%,8,197132,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
6,TAS,Tasmania,Spanish,1571,557571,0.282,0.3%,9,171378,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
6,TAS,Tasmania,Nepali,7248,557571,1.3,1.3%,10,133078,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
7,NT,Northern Territory,Mandarin,2526,232605,1.086,1.1%,1,685268,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
7,NT,Northern Territory,Arabic,427,232605,0.184,0.2%,2,367154,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
7,NT,Northern Territory,Vietnamese,1565,232605,0.673,0.7%,3,320760,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
7,NT,Northern Territory,Cantonese,803,232605,0.345,0.3%,4,295292,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
7,NT,Northern Territory,Punjabi,1563,232605,0.672,0.7%,5,239041,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
7,NT,Northern Territory,Greek,3258,232605,1.401,1.4%,6,229643,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
7,NT,Northern Territory,Italian,668,232605,0.287,0.3%,7,228046,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
7,NT,Northern Territory,Hindi,969,232605,0.417,0.4%,8,197132,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
7,NT,Northern Territory,Spanish,748,232605,0.322,0.3%,9,171378,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
7,NT,Northern Territory,Nepali,3099,232605,1.332,1.3%,10,133078,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
